"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
830,2,5,80619.3333333333,81430,0,"FALSE"
832,2,12,81656,81941,0,"FALSE"
835,1,17,82401,82401,0,"FALSE"
836,1,15,82065,82327,0,"FALSE"
838,1,19,82532,82532,1,"FALSE"
839,1,10,81440.3333333333,81901,0,"TRUE"
840,0,18,82411,82411,0,"FALSE"
1,10,14,73873,74106,1,"FALSE"
8,16,1,72508.6666666667,73117,0,"TRUE"
13,15,15,77162.5,80529,1,"FALSE"
18,17,9,73596.3333333333,73723,1,"FALSE"
20,10,2,72586.6666666667,73090,0,"TRUE"
154,8,8,73446,73786,0,"FALSE"
807,7,12,73707.5,73787,1,"FALSE"
815,6,7,73429.6666666667,73530,0,"FALSE"
817,6,5,73076,73219,0,"TRUE"
822,4,3,72816.3333333333,73325,0,"TRUE"
825,3,13,73745,73959,1,"FALSE"
826,3,11,73707.5,73899,1,"FALSE"
828,3,20,75276,75276,1,"FALSE"
830,2,4,72757,73078,0,"TRUE"
832,2,6,73361.6666666667,73526,0,"FALSE"
835,1,17,74696,74696,1,"FALSE"
836,1,19,75159,75159,1,"FALSE"
838,1,10,73362.5,73476,1,"FALSE"
839,1,16,74101,74101,1,"FALSE"
840,0,18,74893,74893,1,"FALSE"
1,10,1,72215.6666666667,72692,0,"TRUE"
4,16,12,73681,73693,0,"FALSE"
8,16,4,72793.3333333333,73548,0,"FALSE"
13,15,7,73101.6666666667,73435,0,"FALSE"
20,10,2,72528,73046,0,"TRUE"
154,8,14,73809.5,73839,0,"FALSE"
807,7,10,73493.6666666667,73804,0,"FALSE"
815,6,8,73250,73470,0,"TRUE"
817,6,6,72970,73543,0,"TRUE"
822,4,3,72475,72685,0,"TRUE"
825,3,18,74318,74318,0,"FALSE"
826,3,11,73746,73802,0,"FALSE"
828,3,19,74495,74495,0,"FALSE"
830,2,5,72777,73177,0,"FALSE"
832,2,13,73903.5,74051,0,"FALSE"
835,1,15,74141.5,74293,0,"FALSE"
836,1,20,74810,74810,0,"FALSE"
838,1,16,74182,74182,0,"FALSE"
839,1,9,73325,73520,0,"FALSE"
840,0,17,74209,74209,0,"FALSE"
1,10,1,101283.666666667,101983,0,"TRUE"
4,16,16,104334,104334,1,"FALSE"
8,16,3,102153.666666667,102678,0,"FALSE"
13,15,9,102899.333333333,103165,0,"FALSE"
20,10,4,102234.666666667,102952,0,"TRUE"
154,8,17,104468,104468,1,"FALSE"
807,7,14,104098.5,104267,1,"FALSE"
815,6,6,102580,103162,0,"FALSE"
817,6,10,102828.666666667,103414,0,"TRUE"
822,4,2,101851.666666667,103026,0,"TRUE"
825,3,13,103912.5,104029,1,"FALSE"
826,3,11,103056.5,103186,0,"FALSE"
828,3,18,104795,104795,1,"FALSE"
830,2,5,102128,102544,0,"FALSE"
832,2,12,103418,103489,1,"FALSE"
836,1,15,104460,104603,1,"FALSE"
838,1,19,105030,105030,1,"FALSE"
839,1,7,102662.666666667,103051,0,"FALSE"
840,0,8,102883.333333333,103613,0,"TRUE"
1,10,3,64762.6666666667,65064,1,"TRUE"
4,16,12,65880,66158,0,"FALSE"
8,16,4,64977,65148,1,"TRUE"
13,15,17,66534,66534,0,"FALSE"
20,10,2,64883.3333333333,65585,0,"TRUE"
154,8,7,65567,65902,1,"FALSE"
807,7,11,65885.5,66174,0,"FALSE"
815,6,8,65671.6666666667,65975,1,"FALSE"
817,6,5,65303.6666666667,65854,1,"TRUE"
822,4,1,64775.6666666667,65760,0,"TRUE"
825,3,15,66143,66143,0,"FALSE"
826,3,14,65937,65990,0,"FALSE"
828,3,19,66857,66857,0,"FALSE"
830,2,6,65236.6666666667,65779,1,"FALSE"
832,2,10,65648.3333333333,65726,0,"FALSE"
835,1,16,66345,66345,0,"FALSE"
836,1,20,67011,67011,0,"FALSE"
838,1,13,66028.5,66316,0,"FALSE"
839,1,9,65752.3333333333,66033,0,"FALSE"
840,0,18,66608,66608,0,"FALSE"
1,10,1,91187.3333333333,99069,0,"TRUE"
4,16,13,94099,97598,1,"FALSE"
8,16,2,92198,100455,0,"TRUE"
13,15,15,96678,101874,1,"FALSE"
20,10,3,92098.6666666667,99962,0,"FALSE"
154,8,10,93852.3333333333,102042,0,"FALSE"
807,7,6,92465.6666666667,99201,1,"FALSE"
815,6,7,93578.3333333333,102009,1,"FALSE"
817,6,20,102966,102966,1,"TRUE"
822,4,4,91935.3333333333,99698,1,"TRUE"
825,3,17,102577,102577,1,"FALSE"
826,3,12,96040.5,101726,0,"FALSE"
828,3,19,102633,102633,1,"FALSE"
830,2,5,92157.6666666667,98912,1,"TRUE"
832,2,14,96241,101114,1,"FALSE"
835,1,11,95798.5,101404,0,"FALSE"
836,1,18,102593,102593,1,"FALSE"
838,1,9,93178,100011,1,"FALSE"
839,1,8,92837.6666666667,99738,1,"FALSE"
840,0,16,102573,102573,1,"FALSE"
1,10,4,76964,77492,0,"TRUE"
4,16,8,77954.3333333333,78395,1,"FALSE"
8,16,2,77005,77364,0,"TRUE"
20,10,1,76774,77244,0,"TRUE"
154,8,15,78928,79085,1,"FALSE"
807,7,7,77753.3333333333,78137,1,"FALSE"
814,6,19,79868,79868,0,"FALSE"
815,6,14,78867,79095,1,"FALSE"
817,6,6,77406,77702,0,"FALSE"
822,4,3,77316.6666666667,78058,0,"TRUE"
825,3,16,79095,79095,1,"FALSE"
826,3,13,78620,78702,1,"FALSE"
828,3,20,79972,79972,0,"FALSE"
830,2,5,77030.3333333333,77266,0,"TRUE"
832,2,10,78723.6666666667,78948,1,"FALSE"
835,1,11,78557,78699,1,"FALSE"
836,1,18,79839,79839,0,"FALSE"
838,1,9,78124.3333333333,78479,1,"FALSE"
839,1,12,78669,78843,1,"FALSE"
840,0,17,79102,79102,0,"FALSE"
1,10,1,103221.333333333,104184,0,"TRUE"
4,16,11,105379,105668,1,"FALSE"
8,16,4,103899.666666667,104729,0,"TRUE"
13,15,16,105823,105823,0,"FALSE"
20,10,2,103685.666666667,104275,0,"TRUE"
154,8,12,105430.5,105728,1,"FALSE"
807,7,7,105083.333333333,105280,0,"FALSE"
815,6,8,105243,105591,0,"FALSE"
817,6,6,104400.333333333,105114,0,"TRUE"
822,4,3,103705.333333333,104773,0,"TRUE"
825,3,13,105467.5,105535,1,"FALSE"
826,3,17,106028,106028,1,"FALSE"
828,3,19,107214,107214,1,"FALSE"
830,2,5,103951.666666667,104535,0,"FALSE"
832,2,14,105406.5,105439,1,"FALSE"
835,1,10,105066,105447,1,"FALSE"
836,1,20,107679,107679,1,"FALSE"
838,1,15,105441,105441,1,"FALSE"
